trial_id,status,candidate_sha256,parent_sha256,process_sha256,profile_sha256,reference_packet_sha256,evidence_bundle_sha256,native_execution_kind,G01,G02,G03,G04,G05,G06,G07,G08,G09,technical_validity,reference_fidelity,scene_usability,human_geometry_approval,failed_criterion_ids,creative_passes_consumed,native_jobs_consumed,native_seconds,active_wall_seconds,builder_input_tokens,builder_output_tokens,advisory_input_tokens,advisory_output_tokens,final_evaluation_input_tokens,final_evaluation_output_tokens,cost_usd,cost_basis,failure_or_missing_reason,limitations,event_ids_ref,revision_log_ref,usage_coverage,usage_source_ref,timing_source_ref,accounting_reconciliation_status
E1-D01-R1-A1,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E1-D01-R1-A0,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E1-D01-R2-A0,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E1-D01-R2-A1,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E1-D02-R1-A0,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E1-D02-R1-A1,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E1-D02-R2-A1,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E1-D02-R2-A0,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E2-D01-R1-F1,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E2-D01-R1-F0,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E2-D01-R2-F1,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E2-D01-R2-F0,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E2-D02-R1-F0,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E2-D02-R1-F1,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E2-D02-R2-F0,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E2-D02-R2-F1,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E3-D01-R1-OPT,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E3-D02-R1-OPT,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E4-H01-R1-P0,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E4-H01-R1-P1,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E4-H01-R2-P1,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E4-H01-R2-P0,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E4-H02-R1-P1,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E4-H02-R1-P0,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E4-H02-R2-P0,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
E4-H02-R2-P1,not_started,,,,,,,not_executed,,,,,,,,,,,,,not_requested,,,,,,,,,,,,,,,,,,,,,
