scheduled_order,trial_id,phase,asset_slot,repeat,condition,max_creative_passes,shared_parent_selector,resolved_parent_sha256,status,blind_evaluation_id
1,E1-D01-R1-A1,E1,D01,R1,A1,1,fresh_start,,not_started,
2,E1-D01-R1-A0,E1,D01,R1,A0,1,fresh_start,,not_started,
3,E1-D01-R2-A0,E1,D01,R2,A0,1,fresh_start,,not_started,
4,E1-D01-R2-A1,E1,D01,R2,A1,1,fresh_start,,not_started,
5,E1-D02-R1-A0,E1,D02,R1,A0,1,fresh_start,,not_started,
6,E1-D02-R1-A1,E1,D02,R1,A1,1,fresh_start,,not_started,
7,E1-D02-R2-A1,E1,D02,R2,A1,1,fresh_start,,not_started,
8,E1-D02-R2-A0,E1,D02,R2,A0,1,fresh_start,,not_started,
9,E2-D01-R1-F1,E2,D01,R1,F1,1,E1-D01-R1-{selected_construction},,not_started,
10,E2-D01-R1-F0,E2,D01,R1,F0,1,E1-D01-R1-{selected_construction},,not_started,
11,E2-D01-R2-F1,E2,D01,R2,F1,1,E1-D01-R2-{selected_construction},,not_started,
12,E2-D01-R2-F0,E2,D01,R2,F0,1,E1-D01-R2-{selected_construction},,not_started,
13,E2-D02-R1-F0,E2,D02,R1,F0,1,E1-D02-R1-{selected_construction},,not_started,
14,E2-D02-R1-F1,E2,D02,R1,F1,1,E1-D02-R1-{selected_construction},,not_started,
15,E2-D02-R2-F0,E2,D02,R2,F0,1,E1-D02-R2-{selected_construction},,not_started,
16,E2-D02-R2-F1,E2,D02,R2,F1,1,E1-D02-R2-{selected_construction},,not_started,
17,E3-D01-R1-OPT,E3,D01,R1,OPT,1,E2-D01-R1-{selected_feedback},,not_started,
18,E3-D02-R1-OPT,E3,D02,R1,OPT,1,E2-D02-R1-{selected_feedback},,not_started,
19,E4-H01-R1-P0,E4,H01,R1,P0,2,fresh_start,,not_started,
20,E4-H01-R1-P1,E4,H01,R1,P1,2,fresh_start,,not_started,
21,E4-H01-R2-P1,E4,H01,R2,P1,2,fresh_start,,not_started,
22,E4-H01-R2-P0,E4,H01,R2,P0,2,fresh_start,,not_started,
23,E4-H02-R1-P1,E4,H02,R1,P1,2,fresh_start,,not_started,
24,E4-H02-R1-P0,E4,H02,R1,P0,2,fresh_start,,not_started,
25,E4-H02-R2-P0,E4,H02,R2,P0,2,fresh_start,,not_started,
26,E4-H02-R2-P1,E4,H02,R2,P1,2,fresh_start,,not_started,
